ID,AID,Cycle,Type,Question Name,Response
268221,1118884,2017,Action,Email Updates,Yes
268221,1118885,2017,Action,Email Updates,No
268212,1118839,2017,Volunteer,Area of Interest,KnockingDoors
268212,1118841,2017,Volunteer,Area of Interest,CallVoters
268212,1118842,2017,Volunteer,Area of Interest,HostingEvents
268212,1118843,2017,Volunteer,Area of Interest,Support
268212,1118844,2017,Volunteer,Area of Interest,UnsureYet
268218,1118864,2017,Volunteer,Translation Help,Spanish
268218,1118866,2017,Volunteer,Translation Help,French
268218,1118869,2017,Volunteer,Translation Help,German
268218,1118870,2017,Volunteer,Translation Help,Vietnamese
268218,1118871,2017,Volunteer,Translation Help,Chinese
268218,1118873,2017,Volunteer,Translation Help,Amharic
268218,1118874,2017,Volunteer,Translation Help,Ibo
268218,1118875,2017,Volunteer,Translation Help,Twi
268218,1118876,2017,Volunteer,Translation Help,Russian
268218,1118878,2017,Volunteer,Translation Help,Korean
268218,1118880,2017,Volunteer,Translation Help,Tagalog
